"hit","P1_docksolv_SCORE","P1_docksolv_SCORE.INTER","P1_dock_SCORE","P1_dock_SCORE.INTER","P2_docksolv_SCORE","P2_docksolv_SCORE.INTER","P2_dock_SCORE","P2_dock_SCORE.INTER","docksolv_min","dock_min"
0,-25.1625,-27.9216,-9.55523,-5.80396,-30.8424,-25.5243,-13.6011,-12.8407,-25.1625,-9.55523
0,-13.3147,-14.5104,-4.53384,-8.7034,-17.6897,-17.5025,-7.27552,-7.95602,-13.3147,-4.53384
0,-18.7975,-18.7352,-4.10689,-3.97864,-21.9376,-21.8966,-10.6846,-9.33686,-18.7975,-4.10689
0,-9.56681,-10.0475,-0.990265,-3.23352,-19.9473,-22.5288,-10.2496,-10.1155,-9.56681,-0.990265
0,-21.368,-20.7934,-13.0548,-12.3774,-13.5049,-12.8337,-9.34264,-9.33447,-13.5049,-9.34264
0,-24.744,-28.5153,-8.59952,-8.30664,-15.1645,-16.3844,-10.6185,-10.2123,-15.1645,-8.59952
0,-22.5931,-23.8973,-16.0987,-16.2789,-16.6615,-16.7975,-8.89071,-8.95343,-16.6615,-8.89071
0,-18.8095,-20.9559,-13.2842,-13.8854,-16.4085,-17.7474,-11.7261,-9.46603,-16.4085,-11.7261
0,-29.2842,-27.897,-19.4828,-19.3018,-21.6344,-21.2121,-14.2303,-12.9499,-21.6344,-14.2303
0,-25.2619,-25.3098,-25.2134,-25.1024,-19.1793,-20.2686,-11.8165,-11.9363,-19.1793,-11.8165
0,-26.2173,-27.3478,-17.3453,-16.9172,-20.4724,-19.3526,-12.6971,-11.947,-20.4724,-12.6971
0,-20.314,-20.6993,-11.7545,-16.8369,-21.0325,-19.4439,-19.2205,-17.0865,-20.314,-11.7545
0,-17.0444,-18.5603,-10.3708,-11.0177,-15.2304,-16.2547,-12.1475,-12.2178,-15.2304,-10.3708
0,-7.99886,-10.3345,-4.01829,-6.91367,-18.437,-19.2882,-10.8233,-9.81207,-7.99886,-4.01829
0,-26.0831,-25.6523,-31.2399,-29.0043,-20.9923,-18.8556,-19.4638,-16.4781,-20.9923,-19.4638
0,-18.6219,-19.6986,-19.8231,-16.5005,-22.5603,-20.0287,-18.1086,-14.392,-18.6219,-18.1086
0,-33.8077,-33.6511,-13.7244,-15.7381,-16.3799,-16.9384,-14.5989,-14.6626,-16.3799,-13.7244
0,-30.2391,-30.4891,-19.7951,-19.7834,-18.9996,-18.5722,-13.6446,-13.1663,-18.9996,-13.6446
0,-8.80021,-9.54051,-5.20031,-4.4876,-20.9894,-22.4871,-10.3489,-10.9632,-8.80021,-5.20031
0,-10.7667,-8.03116,-5.89541,-3.25526,-2.74284,-8.24521,-7.99821,-2.32823,-2.74284,-5.89541
0,-22.7319,-23.0604,-5.38395,-4.90734,-23.4536,-23.1751,-11.0537,-10.6177,-22.7319,-5.38395
0,-13.3231,-14.0691,-4.66123,0.148665,-18.7072,-15.8772,-8.62471,-8.484,-13.3231,-4.66123
0,-37.6027,-39.3345,-23.4378,-22.8191,-24.4613,-24.6863,-15.0995,-14.1361,-24.4613,-15.0995
0,-30.5556,-23.2025,-24.285,-14.1701,-24.9574,-12.2334,-19.9283,-5.15512,-24.9574,-19.9283
0,-16.8773,-17.9264,-12.0348,-13.3012,-16.1007,-15.2399,-13.9649,-12.5613,-16.1007,-12.0348
0,-15.5002,-15.1699,-9.42034,-9.71814,-21.573,-22.0815,-9.08807,-9.79289,-15.5002,-9.08807
0,-27.6758,-27.9354,-14.9437,-14.7411,-16.2963,-15.8066,-11.8272,-11.2974,-16.2963,-11.8272
